run,subrun,event,opdet,opchannel,obs_pe,pred_pe,total_obs_pe,ophit_amp,ophit_pe,ophit_pe_over_amp,event_max_amp,fileno,entry,dlmerged
16976,67,3389,7,9,0.00,5105.8,11413,6.5,0.31,0.0474,20409,837,43,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/76/merged_dlreco_7ba7f413-bc8d-47dd-b219-990ef6555178.root
16095,257,12900,13,15,4.21,1484.2,12903,524.1,3.96,0.0076,5407,595,41,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/95/merged_dlreco_e3bc6c5a-5835-4049-a5a6-232a5d3ba0f4.root
16095,257,12900,21,19,0.00,5081.0,12903,32.5,1.25,0.0384,5407,595,41,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/95/merged_dlreco_e3bc6c5a-5835-4049-a5a6-232a5d3ba0f4.root
17356,208,10446,10,12,0.00,5076.3,6841,8.6,0.42,0.0490,7418,1012,32,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/56/merged_dlreco_26a0bbc9-c84c-4070-a401-be3ad5f54f31.root
16036,260,13036,21,19,0.00,5027.8,12477,41.2,-1.77,-0.0429,12338,577,16,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/36/merged_dlreco_bd7a7fbc-6be2-4eec-9acb-2173e29228c3.root
16948,119,5989,10,12,0.00,5024.8,3466,38.0,-3.53,-0.0929,6969,824,53,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/48/merged_dlreco_02a9fb5a-91a2-4fb3-8b66-29b75508ddd9.root
16948,119,5989,12,10,0.00,1399.5,3466,518.7,-0.89,-0.0017,6969,824,53,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/48/merged_dlreco_02a9fb5a-91a2-4fb3-8b66-29b75508ddd9.root
14212,118,5912,10,12,0.00,4996.3,10556,92.7,-0.62,-0.0067,20409,23,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/42/12/merged_dlreco_6afb54db-e9d6-4fdc-8cc9-02e5f7c2c624.root
16573,215,10761,4,6,0.00,4994.6,11285,25.8,0.94,0.0364,11593,736,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/65/73/merged_dlreco_d025ed4b-a3df-4da4-bf63-c19c53a2ab6c.root
14913,143,7168,6,3,0.00,4948.2,11311,9.1,0.79,0.0871,14801,252,29,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/49/13/merged_dlreco_75b8b13b-c4c7-48aa-93eb-a6aa526508a6.root
16023,290,14549,18,16,0.00,4883.2,4045,6.6,0.32,0.0487,6037,572,7,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/23/merged_dlreco_469b02cc-1151-4aa6-b319-9e6e71decf3e.root
15517,78,3905,4,6,0.28,4824.2,7190,31.4,2.55,0.0812,7093,480,30,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/55/17/merged_dlreco_755a5bba-1739-4784-afac-f9a88a1a9705.root
15116,235,11768,0,4,0.00,4775.7,8149,17.0,1.80,0.1058,9043,330,18,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/51/16/merged_dlreco_6c655b5a-a27b-4b70-81a7-6c6ff0d8cba1.root
17696,212,10633,5,1,0.00,4720.8,5157,6.4,0.30,0.0474,5586,1188,59,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/96/merged_dlreco_0a87259f-11da-4ca0-9037-a48d303734bb.root
14802,157,7892,27,30,0.85,4713.0,7153,29.3,1.79,0.0613,4734,201,44,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/48/02/merged_dlreco_bb106820-0427-4c44-b103-5338bc9a95e2.root
18511,229,11453,13,15,0.00,4647.5,4928,6.9,0.35,0.0500,4769,1385,0,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/85/11/merged_dlreco_f3e081c3-7acb-486d-a4c2-8dcf05888816.root
16467,44,2234,21,19,0.00,4633.4,3956,205.5,8.53,0.0415,4761,710,7,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/64/67/merged_dlreco_41e09db1-8724-4cd6-9ade-02f4624b4109.root
16008,401,20094,11,8,0.00,4612.6,15688,7.9,0.36,0.0458,19895,566,22,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/08/merged_dlreco_421e8015-18f2-4ffe-a0af-133384723581.root
15151,171,8567,27,30,1.07,4599.6,3512,87.4,4.65,0.0532,2017,349,27,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/51/51/merged_dlreco_baa1614a-1746-49c4-959f-d515613f3e57.root
17354,59,3000,11,8,0.00,4586.0,5699,7.8,0.39,0.0500,7702,1011,50,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/54/merged_dlreco_f8ece8bf-55bf-4976-b917-1b4325db6d5e.root
17237,368,18423,13,15,0.00,4566.7,4994,24.3,1.21,0.0497,4503,955,31,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/72/37/merged_dlreco_d305f8f7-4080-4c0f-a1ba-ec9d6e18bff4.root
14642,11,595,10,12,0.00,4560.3,9155,8.4,0.39,0.0460,20409,140,7,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/46/42/merged_dlreco_79e7c17e-194e-43ac-85d4-0b2a68d4f311.root
17327,11,574,5,1,0.00,4559.0,6434,343.7,-0.85,-0.0025,7975,995,3,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/27/merged_dlreco_16b4f4da-1279-4078-a9ad-bd1a8bc9a446.root
17327,11,574,11,8,0.00,308.1,6434,343.1,-0.21,-0.0006,7975,995,3,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/27/merged_dlreco_16b4f4da-1279-4078-a9ad-bd1a8bc9a446.root
17763,47,2351,0,4,0.00,4522.8,4844,7.8,0.37,0.0468,11249,1205,47,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/77/63/merged_dlreco_83cc4eb6-9cf2-4b97-8bf6-034bc9115378.root
17743,18,937,4,6,0.00,1249.2,5327,330.3,0.13,0.0004,4199,1200,34,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/77/43/merged_dlreco_db67a82b-41a1-4c9c-9862-a22875aff5a4.root
17743,18,937,7,9,0.00,4521.8,5327,7.2,0.36,0.0500,4199,1200,34,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/77/43/merged_dlreco_db67a82b-41a1-4c9c-9862-a22875aff5a4.root
18512,104,5201,3,0,0.00,4513.7,5223,25.0,1.61,0.0645,8265,1386,15,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/85/12/merged_dlreco_cebc0a28-be13-41ac-b2c3-620f4165285b.root
